some_id,name,alternative_names,latitude,longitude,iso_alpha_2,region_id,population
1690934,Salay,Salay,8.85917,124.78917,PH,10,6428
1690937,Salawagan,Salawagan,7.70528,125.115,PH,10,6508
1690955,Salapungan,Salapungan,15.1339,120.92794,PH,3,5928
1691084,Saguing,Saguing,6.98028,125.07806,PH,12,5073
1691091,Saguday,Saguday,16.5428,121.5638,PH,2,7464
1691107,Sagpon,Sagpon,13.15,123.73333,PH,5,6849
1691150,Sagay,"Kota Sagay,Sagay City,Sagay Lakanbalen,سگے، نیگروس وکڈینٹل",10.94472,123.42417,PH,6,72153
1691172,Sagang,Sagang,10.3612,123.0722,PH,NIR,8136
1691280,Sablayan,Sablayan,12.8346,120.769,PH,41,38383
1691341,Sabang,Sabang,14.6951,120.2507,PH,3,5144
1691441,Roxas,Roxas,17.11894,121.62014,PH,2,16618
1691442,Roxas,"Paclasan,Paglasan,Roxas",12.5835,121.5176,PH,41,14335
1691444,Roxas City,"RXS,Roxas,Roxas City",11.58528,122.75111,PH,6,102688
1691446,Roxas,"Barbacan,Del Pilar,New Barbacan,Roxas,rwksas,روکساس",10.3215,119.3451,PH,41,15242
1691488,Rosario,Rosario,13.8635,122.2731,PH,40,5563
1691509,Rosales,"Rosales de Pangasinan,Rosales de Pangasinán",15.89444,120.63278,PH,1,13105
1691538,Romblon,"Romblon,Romblón,lombeullon,rwmblwn  rwmblwn,Ромблон,رومبلون، رومبلون,롬블론",12.57513,122.27081,PH,41,15316
1691561,Rogongon,,8.23333,124.33333,PH,12,5530
1691594,Liwan,"Liwan,Rizal",17.5191,121.632,PH,15,5286
1691606,Rizal,"Nazaret,Rizal,Rizel,Ризал",15.7118,121.1061,PH,3,26201
1691625,Rizal,Rizal,12.97722,123.91417,PH,5,7577
1691703,Rio Tuba,Rio Tuba,8.50613,117.43169,PH,41,8944
1691712,Rimus,"Rimos,Rimus",16.8764,120.3966,PH,1,6670
1691769,Reina Mercedes,"Reina Mercedes,Reina Mercedes Nuevo",16.98545,121.82664,PH,2,6227
1691804,Recodo,,6.95194,121.96361,PH,9,42788
1691812,Real,"Puerto Real,Real",14.66397,121.60412,PH,40,9163
1691904,Ramos,"Bani,Ramos",15.6653,120.6406,PH,3,15066
1691911,Ramon,"Ramon,Рамон",16.78416,121.53504,PH,2,36307
1691929,Rajal Norte,"Rajal,Rajal Norte",15.44485,120.86256,PH,3,10281
1691941,Ragay,"Ragay,Raike,Rakei",13.8183,122.7923,PH,5,9000
1691973,Quisao,Quisao,14.4347,121.3344,PH,40,10989
1692136,Quilo-quilo,Quilo-quilo,13.8638,121.2209,PH,40,7126
1692184,Quiapo,"Kiyabo,Quiapo,Quiapo District,kui a po qu,奎阿坡區",14.6,120.9833,PH,NCR,23138
1692192,Quezon City,"Keson-Siti,Quezon,Quezon City,Кесон-Сити",14.6488,121.0509,PH,NCR,2761720
1692196,Quezon,"Quezon,Quezón",17.31303,121.60654,PH,2,9485
1692197,Quezon,"Keson-Siti,Quezon,Кесон-Сити",16.5,121.26667,PH,2,5080
1692199,Quezon,"Keson-Siti,Quezon,Кесон-Сити",15.5512,120.8147,PH,3,18451
1692201,Quezon,Quezon,14.0057,122.1838,PH,40,6804
1692210,Quezon,Quezon,10.43617,123.2604,PH,NIR,11681
1692211,Quezon,"Alfonso XIII,Keson-Siti,Quezon,Quezón,kzwn  palawan,Кесон-Сити,کزون، پالاوان",9.24111,118.03139,PH,41,7860
