name,iso_code,latitude,longitude
"Inchiri",MR-12,19.747311,-14.39091
"Tagant",MR-09,18.15149,-10.912906
"Tiris Zemmour",MR-11,24.255131,-9.245411
"Trarza",MR-06,NULL,NULL
"Saint Anthony",MS-01,NULL,NULL
"Saint Georges",MS-02,NULL,NULL
"Saint Peter",MS-03,NULL,NULL
"Agalega Islands",MU-21,NULL,NULL
"Black River",MU-12,NULL,NULL
"Cargados Carajos",MU-22,NULL,NULL
"Flacq",MU-13,NULL,NULL
"Grand Port",MU-14,NULL,NULL
"Moka",MU-15,NULL,NULL
"Pamplemousses",MU-16,NULL,NULL
"Plaines Wilhems",MU-17,NULL,NULL
"Port Louis",MU-18,NULL,NULL
"Riviere du Rempart",MU-19,NULL,NULL
"Rodrigues",MU-23,NULL,NULL
"Savanne",MU-20,NULL,NULL
"Aliff",MV-02,NULL,NULL
"Baa",MV-20,5.086287,73.002712
"Daalu",MV-17,NULL,NULL
"Faafu",MV-14,3.162773,72.937028
"Gaafu Aliff",MV-27,NULL,NULL
"Gaafu Daalu",MV-28,NULL,NULL
"Haa Aliff",MV-07,NULL,NULL
"Haa Daalu",MV-23,NULL,NULL
"Kaafu",MV-26,NULL,NULL
"Laamu",MV-05,1.956545,73.406176
"Laviyani",MV-03,NULL,NULL
"Meemu",MV-12,2.940104,73.501436
"Naviyani",MV-29,NULL,NULL
"Noonu",MV-25,5.824573,73.305436
"Raa",MV-13,5.671056,72.925614
"Seenu",MV-01,-0.639219,73.158331
"Shaviyani",MV-24,6.210959,73.104339
"Thaa",MV-08,2.362182,73.137205
"Waavu",MV-04,NULL,NULL
"Balaka",MW-26,-14.982065,34.95803
"Blantyre",MW-24,NULL,NULL
"Chikwawa",MW-02,-16.02433,34.786751
"Chiradzulu",MW-03,-15.68867,35.11969
"Chitipa",MW-04,-9.700939,33.27325
"Dedza",MW-06,-14.383815,34.335994
"Dowa",MW-07,-13.703316,33.963566
"Karonga",MW-08,-9.930657,33.937891
"Kasungu",MW-09,-13.033366,33.484166
"Likoma",MW-27,-12.067111,34.734153
"Lilongwe",MW-11,NULL,NULL
"Machinga",MW-28,NULL,NULL
"Mangochi",MW-12,-14.483333,35.266667
"Mchinji",MW-13,-13.79977,32.881305
"Mulanje",MW-29,-16.023616,35.49595
"Mwanza",MW-25,-15.6051,34.527014
"Mzimba",MW-15,-11.897435,33.597809
"Nkhata Bay",MW-17,-11.607,34.27942
"Nkhotakota",MW-18,-12.9691,34.2665
"Nsanje",MW-19,-16.92071,35.261884
"Ntcheu",MW-16,-14.7968,34.6251
"Ntchisi",MW-20,-13.3531,33.9211
"Phalombe",MW-30,-15.80015,35.646465
"Rumphi",MW-21,-11.017475,33.814855
"Salima",MW-22,-13.78197,34.45899
"Thyolo",MW-05,-16.0643,35.1342
"Zomba",MW-23,NULL,NULL
"Aguascalientes",MX-01,NULL,NULL
"Baja California",MX-02,NULL,NULL
